"행정구역","2026년06월_총인구수","2026년06월_세대수","2026년06월_세대당 인구","2026년06월_남자 인구수","2026년06월_여자 인구수","2026년06월_남여 비율"
"부산광역시 강서구 강동동(2644053000)","20,571","7,894","          2.61","10,429","10,142","          1.03"
"부산광역시 강서구 명지1동(2644053500)","54,395","21,862","          2.49","27,270","27,125","          1.01"
"부산광역시 강서구 명지2동(2644054500)","29,448","10,528","          2.80","14,723","14,725","          1.00"
"부산광역시 강서구 가락동(2644055000)","1,974","1,231","          1.60","1,071","903","          1.19"
"부산광역시 강서구 녹산동(2644056000)","17,008","9,404","          1.81","9,597","7,411","          1.29"
"부산광역시 강서구 가덕도동(2644058000)","4,025","2,541","          1.58","2,145","1,880","          1.14"
"부산광역시 강서구 신호동(2644059000)","14,969","6,785","          2.21","7,953","7,016","          1.13"
"부산광역시 연제구 (2647000000)","211,464","100,900","          2.10","100,606","110,858","          0.91"
"부산광역시 연제구 거제제1동(2647061000)","27,538","11,396","          2.42","13,188","14,350","          0.92"
"부산광역시 연제구 거제제2동(2647062000)","24,973","9,091","          2.75","11,904","13,069","          0.91"
"부산광역시 연제구 거제제3동(2647063000)","8,837","4,560","          1.94","4,070","4,767","          0.85"
"부산광역시 연제구 거제제4동(2647064000)","9,188","4,017","          2.29","4,381","4,807","          0.91"
"부산광역시 연제구 연산제1동(2647065000)","15,242","6,889","          2.21","7,422","7,820","          0.95"
"부산광역시 연제구 연산제2동(2647066000)","22,624","11,336","          2.00","10,569","12,055","          0.88"
"부산광역시 연제구 연산제3동(2647067000)","9,937","4,923","          2.02","4,735","5,202","          0.91"
"부산광역시 연제구 연산제4동(2647068000)","17,378","9,663","          1.80","8,339","9,039","          0.92"
"부산광역시 연제구 연산제5동(2647069000)","17,000","11,269","          1.51","8,075","8,925","          0.90"
"부산광역시 연제구 연산제6동(2647070000)","14,977","7,808","          1.92","7,106","7,871","          0.90"
"부산광역시 연제구 연산제8동(2647072000)","12,670","5,867","          2.16","6,156","6,514","          0.95"
"부산광역시 연제구 연산제9동(2647073000)","31,100","14,081","          2.21","14,661","16,439","          0.89"
"부산광역시 수영구 (2650000000)","168,440","87,903","          1.92","78,874","89,566","          0.88"
"부산광역시 수영구 남천제1동(2650066000)","16,435","7,664","          2.14","7,556","8,879","          0.85"
