"법정구역","2026년06월_계_총인구수","2026년06월_계_연령구간인구수","2026년06월_계_0~9세","2026년06월_계_10~19세","2026년06월_계_20~29세","2026년06월_계_30~39세","2026년06월_계_40~49세","2026년06월_계_50~59세","2026년06월_계_60~69세","2026년06월_계_70~79세","2026년06월_계_80~89세","2026년06월_계_90~99세","2026년06월_계_100세 이상","2026년06월_남_총인구수","2026년06월_남_연령구간인구수","2026년06월_남_0~9세","2026년06월_남_10~19세","2026년06월_남_20~29세","2026년06월_남_30~39세","2026년06월_남_40~49세","2026년06월_남_50~59세","2026년06월_남_60~69세","2026년06월_남_70~79세","2026년06월_남_80~89세","2026년06월_남_90~99세","2026년06월_남_100세 이상","2026년06월_여_총인구수","2026년06월_여_연령구간인구수","2026년06월_여_0~9세","2026년06월_여_10~19세","2026년06월_여_20~29세","2026년06월_여_30~39세","2026년06월_여_40~49세","2026년06월_여_50~59세","2026년06월_여_60~69세","2026년06월_여_70~79세","2026년06월_여_80~89세","2026년06월_여_90~99세","2026년06월_여_100세 이상"
"부산광역시 서구 남부민동 (2614012300)","11,311","11,311","196","432","725","802","1,104","1,860","2,639","2,317","1,087","147","2","5,566","5,566","107","222","391","450","624","1,033","1,301","1,018","387","33","0","5,745","5,745","89","210","334","352","480","827","1,338","1,299","700","114","2"
"부산광역시 서구 암남동 (2614012400)","17,505","17,505","945","1,236","1,726","1,966","2,326","2,797","3,472","2,123","798","112","4","8,446","8,446","484","638","867","995","1,228","1,329","1,636","936","308","25","0","9,059","9,059","461","598","859","971","1,098","1,468","1,836","1,187","490","87","4"
"부산광역시 동구  (2617000000)","83,354","83,354","3,342","4,488","7,777","10,581","10,401","13,373","14,957","11,836","5,714","868","17","40,508","40,508","1,749","2,277","3,658","5,559","5,573","7,012","7,274","5,141","2,058","205","2","42,846","42,846","1,593","2,211","4,119","5,022","4,828","6,361","7,683","6,695","3,656","663","15"
"부산광역시 동구 초량동 (2617010100)","27,517","27,517","1,186","1,674","3,009","3,747","3,778","4,382","4,453","3,461","1,580","243","4","13,397","13,397","615","863","1,336","1,920","1,975","2,332","2,211","1,499","586","58","2","14,120","14,120","571","811","1,673","1,827","1,803","2,050","2,242","1,962","994","185","2"
"부산광역시 동구 수정동 (2617010200)","20,038","20,038","474","1,037","1,580","1,847","2,149","3,361","3,914","3,584","1,813","274","5","9,643","9,643","259","523","826","1,019","1,173","1,805","1,839","1,490","651","58","0","10,395","10,395","215","514","754","828","976","1,556","2,075","2,094","1,162","216","5"
"부산광역시 동구 좌천동 (2617010300)","12,526","12,526","431","624","1,071","1,353","1,461","2,004","2,456","1,954","1,020","148","4","6,042","6,042","213","332","528","742","778","1,009","1,203","851","351","35","0","6,484","6,484","218","292","543","611","683","995","1,253","1,103","669","113","4"
"부산광역시 동구 범일동 (2617010400)","23,273","23,273","1,251","1,153","2,117","3,634","3,013","3,626","4,134","2,837","1,301","203","4","11,426","11,426","662","559","968","1,878","1,647","1,866","2,021","1,301","470","54","0","11,847","11,847","589","594","1,149","1,756","1,366","1,760","2,113","1,536","831","149","4"
"부산광역시 영도구  (2620000000)","100,570","100,570","3,401","6,242","8,515","8,744","11,759","16,482","20,288","16,605","7,545","975","14","49,340","49,340","1,745","3,249","4,744","4,686","6,192","8,486","9,892","7,310","2,786","250","0","51,230","51,230","1,656","2,993","3,771","4,058","5,567","7,996","10,396","9,295","4,759","725","14"
"부산광역시 영도구 대교동1가 (2620010100)","1,157","1,157","34","34","160","170","148","216","220","123","48","4","0","596","596","16","19","66","96","82","124","120","53","19","1","0","561","561","18","15","94","74","66","92","100","70","29","3","0"
"부산광역시 영도구 대교동2가 (2620010200)","1,332","1,332","44","78","121","137","177","189","281","208","87","10","0","666","666","21","41","57","71","92","103","151","95","34","1","0","666","666","23","37","64","66","85","86","130","113","53","9","0"
"부산광역시 영도구 대평동1가 (2620010300)","1,602","1,602","43","97","102","107","177","248","346","292","161","28","1","776","776","27","50","53","52","103","129","172","126","57","7","0","826","826","16","47","49","55","74","119","174","166","104","21","1"
"부산광역시 영도구 대평동2가 (2620010400)","272","272","3","8","13","17","24","46","62","60","34","5","0","151","151","1","2","10","10","12","29","42","31","12","2","0","121","121","2","6","3","7","12","17","20","29","22","3","0"
"부산광역시 영도구 남항동1가 (2620010500)","2,845","2,845","61","145","202","226","318","477","636","512","235","33","0","1,402","1,402","34","75","118","116","177","262","309","225","78","8","0","1,443","1,443","27","70","84","110","141","215","327","287","157","25","0"
"부산광역시 영도구 남항동2가 (2620010600)","966","966","18","37","54","69","105","152","224","206","85","16","0","481","481","9","20","32","37","61","86","114","90","30","2","0","485","485","9","17","22","32","44","66","110","116","55","14","0"
"부산광역시 영도구 남항동3가 (2620010700)","1,584","1,584","17","55","118","107","133","261","353","348","172","20","0","785","785","6","26","75","62","78","149","181","145","57","6","0","799","799","11","29","43","45","55","112","172","203","115","14","0"
"부산광역시 영도구 영선동1가 (2620010800)","1,112","1,112","32","62","95","93","105","160","239","215","97","14","0","538","538","17","31","40","51","54","93","109","96","41","6","0","574","574","15","31","55","42","51","67","130","119","56","8","0"
"부산광역시 영도구 영선동2가 (2620010900)","2,396","2,396","71","152","164","173","243","391","544","436","198","23","1","1,125","1,125","30","82","87","85","134","187","242","181","91","6","0","1,271","1,271","41","70","77","88","109","204","302","255","107","17","1"
"부산광역시 영도구 영선동3가 (2620011000)","1,487","1,487","27","73","99","105","138","233","353","272","172","15","0","695","695","15","37","53","55","74","111","161","115","69","5","0","792","792","12","36","46","50","64","122","192","157","103","10","0"
"부산광역시 영도구 영선동4가 (2620011100)","5,437","5,437","159","358","405","443","576","904","1,108","975","458","51","0","2,653","2,653","84","193","230","240","284","456","543","420","189","14","0","2,784","2,784","75","165","175","203","292","448","565","555","269","37","0"
"부산광역시 영도구 신선동1가 (2620011200)","1,615","1,615","26","64","110","86","156","267","331","355","192","28","0","785","785","14","35","64","50","91","158","171","139","58","5","0","830","830","12","29","46","36","65","109","160","216","134","23","0"
"부산광역시 영도구 신선동2가 (2620011300)","3,032","3,032","45","112","170","183","268","475","716","648","371","44","0","1,497","1,497","21","54","83","110","154","281","373","278","134","9","0","1,535","1,535","24","58","87","73","114","194","343","370","237","35","0"
"부산광역시 영도구 신선동3가 (2620011400)","1,657","1,657","22","65","113","98","151","311","377","304","191","25","0","822","822","12","37","66","59","82","175","205","116","65","5","0","835","835","10","28","47","39","69","136","172","188","126","20","0"
"부산광역시 영도구 봉래동1가 (2620011500)","1,349","1,349","49","43","99","128","132","233","332","224","92","16","1","707","707","26","26","59","66","79","127","175","109","37","3","0","642","642","23","17","40","62","53","106","157","115","55","13","1"
"부산광역시 영도구 봉래동2가 (2620011600)","3,297","3,297","113","163","329","546","334","406","600","560","221","25","0","1,569","1,569","52","80","157","288","179","210","268","237","91","7","0","1,728","1,728","61","83","172","258","155","196","332","323","130","18","0"
"부산광역시 영도구 봉래동3가 (2620011700)","1,707","1,707","44","101","126","100","216","271","354","309","149","37","0","846","846","23","65","70","51","125","153","178","133","39","9","0","861","861","21","36","56","49","91","118","176","176","110","28","0"
"부산광역시 영도구 봉래동4가 (2620011800)","4,771","4,771","353","414","369","534","744","795","766","536","229","31","0","2,288","2,288","168","209","181","273","367","389","365","229","94","13","0","2,483","2,483","185","205","188","261","377","406","401","307","135","18","0"
"부산광역시 영도구 봉래동5가 (2620011900)","2,197","2,197","25","66","117","149","196","360","460","488","309","27","0","1,096","1,096","11","35","72","86","127","209","240","204","103","9","0","1,101","1,101","14","31","45","63","69","151","220","284","206","18","0"
"부산광역시 영도구 청학동 (2620012000)","20,481","20,481","716","1,455","1,527","1,759","2,541","3,479","4,061","3,321","1,434","183","5","10,014","10,014","349","768","829","955","1,311","1,783","1,959","1,466","554","40","0","10,467","10,467","367","687","698","804","1,230","1,696","2,102","1,855","880","143","5"
"부산광역시 영도구 동삼동 (2620012100)","40,274","40,274","1,499","2,660","4,022","3,514","4,877","6,608","7,925","6,213","2,610","340","6","19,848","19,848","809","1,364","2,342","1,873","2,526","3,272","3,814","2,822","934","92","0","20,426","20,426","690","1,296","1,680","1,641","2,351","3,336","4,111","3,391","1,676","248","6"
"부산광역시 부산진구  (2623000000)","364,912","364,912","18,150","24,610","45,754","54,401","48,851","55,516","58,627","39,708","16,896","2,349","50","174,246","174,246","9,242","12,277","21,239","27,570","24,912","27,160","27,162","17,640","6,425","616","3","190,666","190,666","8,908","12,333","24,515","26,831","23,939","28,356","31,465","22,068","10,471","1,733","47"
"부산광역시 부산진구 양정동 (2623010100)","39,756","39,756","2,381","2,460","5,642","7,432","5,473","5,736","5,228","3,543","1,626","234","1","18,455","18,455","1,199","1,199","2,346","3,514","2,816","2,739","2,415","1,552","608","67","0","21,301","21,301","1,182","1,261","3,296","3,918","2,657","2,997","2,813","1,991","1,018","167","1"
"부산광역시 부산진구 전포동 (2623010200)","43,244","43,244","1,950","2,403","7,293","8,208","5,707","5,791","5,567","4,111","1,949","258","7","20,431","20,431","990","1,162","3,219","4,275","2,868","2,796","2,534","1,776","740","71","0","22,813","22,813","960","1,241","4,074","3,933","2,839","2,995","3,033","2,335","1,209","187","7"
